Species	Formula	CAS	Inchi	Enthalpy	T(K)_Enthalpy	E_mean	E_min	E_max	Pre-exponential_factor	Order_factor	Method	Origin	Reference	Type_of_surface	Description
PC2H4+	PC2H4+	NoData	InChI=1S/C2H4P/c1-2-3/h2H,1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
PC4H2+	PC4H2+	NoData	InChI=1S/C4H2P/c1-2-3-4-5/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
S	S	7704-34-9	InChI=1S/S	277.17±0.25	298	2600±780	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
S	S	7704-34-9	InChI=1S/S	277.17±0.25	298	1100	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
S-	S-	14337-03-2	InChI=1S/S/q-1	70.369	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
S+	S+	14701-12-3	InChI=1S/S/q+1	1282.496	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
Si	Si	7440-21-3	InChI=1S/Si	450±0.84	298	11600±3480	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
Si	Si	7440-21-3	InChI=1S/Si	450±0.84	298	2700	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006.  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
Si+	Si+	14067-07-3	InChI=1S/Si/q+1	1242.5	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
S2	S2	23550-45-0	InChI=1S/S2/c1-2	128.6±0.3	298	2200	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of S+S The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
S2+	S2+	12597-02-3	InChI=1S/S2/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SCl	SCl	14989-32-3	InChI=1S/ClS/c1-2	156.47±16.7	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiC	SiC	409-21-2	InChI=1S/CSi/c1-2	734.946±20	298	3500	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiC+	SiC+	NoData	InChI=1S/CSi/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiF+	SiF+	NoData	InChI=1S/FSi/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiH	SiH	13774-94-2	InChI=1S/HSi/h1H	368.64±8	298	13000±3900	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
SiH	SiH	13774-94-2	InChI=1S/HSi/h1H	368.64±8	298	3150	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiH+	SiH+	31241-66-4	InChI=1S/HSi/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiN	SiN	12033-60-2	InChI=1S/NSi/c1-2	403.67±36	298	3500	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+N The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiN+	SiN+	NoData	InChI=1S/NSi/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiO	SiO	10097-28-6	InChI=1S/OSi/c1-2	-100.42±8.4	298	3500	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+O The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiO+	SiO+	NoData	InChI=1S/OSi/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiS	SiS	12504-41-5	InChI=1S/SSi/c1-2	106±12.6	298	3800	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+S The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiS+	SiS+	NoData	InChI=1S/SSi/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SO	SO	13827-32-2	InChI=1S/OS/c1-2	4.76±0.18	298	2800±840	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
SO	SO	13827-32-2	InChI=1S/OS/c1-2	4.76±0.18	298	2600	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of SO2 - 800K. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SO+	SO+	54724-05-9	InChI=1S/OS/c1-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HS2+	S2H+	NoData	InChI=1S/HS2/c1-2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
c-SiC2	SiC2	12071-27-1	InChI=1S/C2Si/c1-2-3-1	631.361±12	298	4300	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+C+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiC2+	SiC2+	NoData	InChI=1S/C2Si/c1-2-3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiH2	SiH2	13825-90-6	InChI=1S/H2Si/h1H2	273.33±5	298	3600	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of SiH + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiH2+	SiH2+	28149-31-7	InChI=1S/H2Si/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiNC	SiNC	NoData	InChI=1S/CNSi/c1-2-3	NoData	NoData	4300	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+C+N The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiNC+	SiNC+	NoData	InChI=1S/CNSi/c1-2-3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiO2	SiO2	14808-60-7	InChI=1S/O2Si/c1-3-2	-322.07±10	298	4300	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+O+O The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SO2	SO2	7446-09-5	InChI=1S/O2S/c1-3-2	-296.81±0.21	298	3400±1020	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
SO2	SO2	7446-09-5	InChI=1S/O2S/c1-3-2	-296.81±0.21	298	3405	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This value was deduced from Collings et al. (2004). This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SO2+	SO2+	12439-77-9	InChI=1S/O2S/c1-3-2/q+1	914.506±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCCSi	SiC2H	116854-52-5	InChI=1S/C2HSi/c1-2-3/h1H	NoData	NoData	4750	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+C+C+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiC2H+	SiC2H+	NoData	InChI=1S/C2HSi/c1-2-3/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
l-SiC3	SiC3	NoData	InChI=1S/C3Si/c1-2-3-4	NoData	NoData	5100	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+C+C+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
l-SiC3+	SiC3+	NoData	InChI=1S/C3Si/c1-2-3-4/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiCH2	SiCH2	65632-07-7	InChI=1S/CH2Si/c1-2/h1H2	NoData	NoData	3750	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+CH2 The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiH3	SiH3	13765-44-1	InChI=1S/H3Si/h1H3	198.45±4.2	298	4050	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of SiH2 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiH3+	SiH3+	41753-67-7	InChI=1S/H3Si/h1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiNCH+	SiNCH+	NoData	InChI=1S/CHNSi/c1-2-3/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HSiNH+	SiNH2+	NoData	InChI=1S/H2NSi/c1-2/h1-2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SO3	SO3	7446-11-9	InChI=1S/O3S/c1-4(2)3	-395.9±0.71	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3S	SCH3	7175-75-9	InChI=1S/CH4S/c1-2/h2H,1H3/p-1	115	0	4200±1260	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
c-HCCHSi	SiC2H2	100899-98-7	InChI=1S/C2H2Si/c1-2-3-1/h1-2H	NoData	NoData	5200	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+C+C+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiC2H2+	SiC2H2+	NoData	InChI=1S/C2H2Si/c1-2-3/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiC3H	SiC3H	NoData	InChI=1S/C3HSi/c1-2-3-4/h1H	NoData	NoData	5550	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+C+C+C+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiC3H+	SiC3H+	NoData	InChI=1S/C3HSi/c1-2-3-4/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiC4	SiC4	NoData	InChI=1S/C4Si/c1-2-3-4-5	NoData	NoData	5900	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+C+C+C+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiC4+	SiC4+	NoData	InChI=1S/C4Si/c1-2-3-4-5/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiCH3	SiCH3	12538-78-2	InChI=1S/CH3Si/c1-2/h1H3	NoData	NoData	4200	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of Si+CH3 The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiCH3+	SiCH3+	NoData	InChI=1S/CH3Si/c1-2/h1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiH4	SiH4	7803-62-5	InChI=1S/H4Si/h1H4	34.7±8.2	298	4500	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of SiH3 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiH4+	SiH4+	34826-51-2	InChI=1S/H4Si/h1H4/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H2CSiCH	SiC2H3	NoData	InChI=1S/C2H3Si/c1-2-3/h1H,3H2	NoData	NoData	4675	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006.  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
SiC2H3+	SiC2H3+	NoData	InChI=1S/C2H3Si/c1-2-3/h1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
SiC3H2+	SiC3H2+	NoData	InChI=1S/C3H2Si/c1-2-3-4/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
